Method,Accuracy,Precision,Recall,F1 Score,AUC,Robustness
Perplexity,0.7914691943127962,0.7862595419847328,0.865546218487395,0.824,0.8711180124223602,0.505
Statistical,0.9383886255924171,0.9649122807017544,0.9243697478991597,0.944206008583691,0.9831019364267446,0.81
Classifier,0.995260663507109,1.0,0.9915966386554622,0.9957805907172996,1.0,0.985
Ensemble,1.0,1.0,0.992,1.0,1.0,
